year,rank,company,ticker,country,attributable_gold_koz,gold_revenue_share_pct,source_primary,source_crosscheck,confidence,panel_eligible,ineligible_reason
2005,1,Newmont Mining,NEM,US,6500,84.7,"Newmont Mining Corp FY2005 Form 10-K (SEC EDGAR): ""consolidated sales of 8.6 million ounces of gold (6.5 million equity ounces) in 2005"" || Gold revenue share: Newmont Mining Corp FY2005 Form 10-K, Note to Consolidated Financial Statements (segment data): consolidated ""Sales, net: Gold $3,734"" / ""Copper $672"" (millions); gold share = 3,734/4,406",,medium,yes,
2005,2,AngloGold Ashanti,AU,ZA,6166,,"Wikipedia ""AngloGold Ashanti"" production table 2004-2012, sourced to company annual reports",,medium,yes,
2005,3,Barrick Gold,GOLD,CA,5460,,Barrick Gold Corp FY2005 results release (pre-Placer Dome close; total cash cost $227/oz cited alongside),,medium,yes,
2005,4,Gold Fields,GFI,ZA,4219,,"Gold Fields Limited 2009 Integrated Annual Report, 5/10-year historical production table (goldfields.com) — NOTE: Gold Fields reported on a June 30 fiscal year through the early 2010s; this figure most likely represents fiscal year ended 30 June 2005, not calendar 2005, and was not independently re-verified against a primary filing this session (see FY2006/FY2007 rows added below, which ARE primary-sourced and show a declining 4,074 -> 4,024koz trend consistent with, but not identical to, this figure)",,low,yes,
2005,5,Placer Dome,PDG,CA,3600,,Placer Dome Inc FY2005 SEC filings (pre-acquisition; company delisted 2006 after Barrick takeover),,medium,yes,
2006,1,Barrick Gold,GOLD,CA,8640,,"Barrick Gold Corp FY2006 40-F/results release, first full reporting period after Placer Dome acquisition closed Mar 2006",,medium,yes,
2006,2,Newmont Mining,NEM,US,5900,86.0,"Newmont Mining Corp FY2006 Form 10-K: ""sold 7.4 million consolidated ounces of gold (5.9 million equity ounces)"" || Gold revenue share: Newmont Mining Corp FY2008 Form 10-K: ""For 2008, 2007 and 2006, 12%, 22% and 14%, respectively, of our net revenues were attributable to copper"" -> gold share = 100%-14%",,medium,yes,
2006,3,AngloGold Ashanti,AU,ZA,5635,,"Wikipedia ""AngloGold Ashanti"" production table 2004-2012, sourced to company annual reports",,medium,yes,
2006,4,Gold Fields,GFI,ZA,4074,,"Gold Fields Limited FY2007 Form 20-F (SEC EDGAR): ""in fiscal 2006, 4.074 million ounces were attributable to Gold Fields, with the remainder attributable to minority shareholders"" -- NOTE: fiscal year ended 30 June 2006, used here as a proxy for calendar 2006; rank not independently established",,medium,yes,
2007,1,Barrick Gold,GOLD,CA,8060,,"Barrick Gold Corp FY2008 40-F Annual Information Form (EX-99.1), FY2007 comparative production table: ""Company Total 7,657 8,060"" (2008 vs 2007, thousand oz)","Barrick Gold Corp FY2009 40-F AIF, same table structure confirms 2007 figure",high,yes,
2007,2,AngloGold Ashanti,AU,ZA,5480,,"Wikipedia ""AngloGold Ashanti"" production table 2004-2012, sourced to company annual reports",,medium,yes,
2007,3,Newmont Mining,NEM,US,5300,78.0,"Newmont Mining Corp FY2007 disclosure: ""5.3 million equity ounces"" || Gold revenue share: Newmont Mining Corp FY2008 Form 10-K: same sentence, 2007 copper = 22% -> gold share = 78%",,medium,yes,
2007,4,Gold Fields,GFI,ZA,4024,,"Gold Fields Limited FY2007 Form 20-F (SEC EDGAR): ""in fiscal 2007, 4.024 million ounces were attributable to Gold Fields"" -- NOTE: fiscal year ended 30 June 2007, used as proxy for calendar 2007; rank not independently established",,medium,yes,
2008,1,Barrick Gold,GOLD,CA,7657,,"Barrick Gold Corp FY2008 40-F Annual Information Form (EX-99.1): ""Total revenues in 2008 were $7.9 billion... Company Total 7,657 8,060"" (2008 vs 2007 attributable gold production table, thousand oz)","Independent press mention: ""Barrick reported 2008 gold production of 7.7 million ounces"" (rounds to same figure)",high,yes,
2008,2,Newmont Mining,NEM,US,5200,88.0,"Newmont Mining Corp FY2008 disclosure: equity gold sales ~5.2 million ounces, costs applicable to sales $440/oz || Gold revenue share: Newmont Mining Corp FY2008 Form 10-K: same sentence, 2008 copper = 12% -> gold share = 88%",,medium,yes,
2008,3,AngloGold Ashanti,AU,ZA,4982,98.0,"AngloGold Ashanti FY2008 disclosure / Wikipedia production table (company annual report): 4,982,000 oz || Gold revenue share: AngloGold Ashanti Ltd FY2010 Form 20-F, 5-yr summary: Product sales $3,655M (2008) vs Total revenues $3,730M (product sales + interest/dividends/other); note states 'Product sales represent revenue from the sale of gold'","Independent press mention: ""AngloGold Ashanti produced 4.98 million ounces of gold... an estimated 7% of global production""",high,yes,
2009,1,Barrick Gold,GOLD,CA,,,"Barrick guidance only: ""2009 gold production to be 7.2 to 7.6 million ounces"" (company FY2009 guidance release) - FY2009 ACTUAL not independently verified in this pass; rank position inferred from consistent multi-year lead over Newmont/AngloGold",,low,yes,
2009,1,Newmont Mining,NEM,US,5300,83.0,"Newmont Mining Corp FY2009 disclosure: ""sold over 5.3 million equity ounces in 2009"" || Gold revenue share: Newmont Mining Corp FY2011 Form 10-K: ""For 2011, 2010 and 2009, 12%, 19% and 17%, respectively, of our Sales were attributable to copper"" -> 2009 gold share = 83%",,medium,yes,
2009,2,AngloGold Ashanti,AU,ZA,4599,95.7,"Wikipedia ""AngloGold Ashanti"" production table 2004-2012 (company annual report): 4,599,000 oz || Gold revenue share: AngloGold Ashanti Ltd FY2010 Form 20-F, 5-yr summary: Product sales $3,784M (2009) vs Total revenues $3,954M","Independent press mention: ""total attributable gold production... decreased by 383,000 oz, or 8%, to 4.6 million ounces from 5.0 million ounces produced in 2008"" (consistent with 2008 figure of 4,982,000 above)",high,yes,
2009,3,Goldcorp,GG,CA,2420,,"Press synthesis of Goldcorp FY2009 results: ""Goldcorp increased gold production to 2.42 million ounces in 2009""",,medium,yes,
2010,1,Barrick Gold,GOLD,CA,7800,,"Barrick Gold Corp FY2010 results release: ""Barrick produced 7.8 million ounces of gold in 2010""",,medium,yes,
