company,venue,archive_url,retrievable_from_sandbox,earliest_year,frequency_by_era,language,format,currency,accounting_standard,gold_revenue_separable,cost_metric,missing_line_items,break_years,notes
Zijin Mining Group (紫金矿业) - H-share,HKEX 2899.HK,"https://www.zijinmining.com/investor/year-report.jsp (primary IR list, verified paginated back to FY2003); mirror also on HKEXnews e.g. https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0425/2023042500629.pdf","yes - direct curl 200 on both company IR site and HKEXnews mirror, no Cloudflare block, no jina.ai needed","2003 (verified: full English Annual Report 2003 PDF fetched directly, https://www.zijinmining.com/Portals/1/e-AR2003.pdf)","Annual report (audited, full) yearly since 2003; half-year report since HKEX listing; abbreviated quarterly (CSRC 一季报/三季报) since A-share dual listing 2008","Bilingual PDF; explicit disclaimer 'in case of any discrepancies, the Chinese version shall prevail'","PDF only, no XBRL/HTML","RMB (even the H-share/English filing is denominated in RMB, not HKD)","PRC CAS / ASBE (China Accounting Standards for Business Enterprises). VERIFIED: zero hits for 'IFRS' anywhere in FY2023 annual report text (25,997 lines extracted) - no IFRS reconciliation exists","YES - contrary to assumption. Segment note XVI.1 splits 11 reportable segments incl. 'Gold bullion' (mine-integrated mining+processing+refining, i.e. ~矿产金), 'Processed, refined and trading gold' (purchased concentrate + physical trading, i.e. non-mine gold), and 'Gold concentrates' (mine ore sold externally as concentrate). Each segment discloses revenue, segment profit, D&A, capex, assets and liabilities separately.","单位销售成本 (Unit cost of sales, RMB/gram) for Gold bullion and Gold concentrate separately, INCLUDES depreciation - not AISC. Narrative-only claim ('AISC of gold ranked among lowest 20% globally') with NO published RMB/g or $/oz AISC figure or WGC build-up table.","Cash taxes paid specific to gold (P&L income-tax-expense line exists but cash-flow statement bundles income tax + VAT + resource tax into one CAS-format line 'Payments of various types of taxes and surcharges', no supplementary split); Royalties/resource tax (资源税) disclosed only at GROUP level, not by segment; AISC/AIC absent, must be reconstructed from cost-of-sales + capex + royalty + G&A lines.",none identified,"The 'Zijin unit trap' from UNIVERSE.md is RESOLVED at the financial-statement level: mine-produced gold revenue IS separable via the segment note, though reconciling segment revenue exactly to the MD&A tonnage split (矿产金 vs 合质金) takes extra work. This is the single most consequential finding for bringing Zijin into the study."
Zijin Mining Group (紫金矿业) - A-share,SSE 601899.SH,"cninfo.com.cn statutory filings, e.g. http://static.cninfo.com.cn/finalpage/2024-03-23/1219390060.PDF (FY2023 summary, verified) and http://static.cninfo.com.cn/finalpage/2010-03-31/57754471.PDF (FY2009 full report, verified)","yes - direct curl 200, no block",2009 independently fetch-verified; FY2008 (IPO 25 Apr 2008) almost certainly exists on cninfo too but the specific old sina.com.cn mirror URL found via search returned HTTP 503 (dead link) - not independently confirmed,"same cadence as H-share: annual (full + abbreviated 摘要), half-year, abbreviated quarterly","Chinese only (statutory CSRC filing); the English translation lives only under the H-share IR pages, not on cninfo",PDF,RMB,"PRC CAS (statutory, CSRC-mandated)","presumed YES (same underlying CAS accounts as H-share) but NOT independently re-confirmed - the file fetched for FY2023 was only the 8-page abstract (摘要), not the full annual report with the segment note","presumed same as H-share (unit cost of sales RMB/g, no AISC) - not independently re-confirmed for the A-share filing specifically","same caveats as H-share, not independently re-verified on the A-share document",none,"Treat as same company/same numbers as the H-share filing for extraction purposes, but the A-share PDF fetched this session was the summary only, not the full notes-bearing annual report - full A-share annual report should be pulled before extraction."
Shandong Gold Mining (山东黄金) - H-share,HKEX 1787.HK,"https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0330/2023033000297.pdf (FY2022 Annual Results Announcement, verified)","yes via HKEXnews direct PDF URLs; could NOT find the listed subsidiary's own official IR domain within time budget (www.sd-gold.com resolves to the PARENT Shandong Gold Group, a different, non-listed entity; www.sdhjgf.com.cn returned HTTP 503)","2018 (H-share IPO August 2018) - estimated from listing date, NOT independently fetch-verified this session (only FY2022 filing was opened)",half-year + annual (HKEX); abbreviated quarterly also applies via A-share dual listing,Bilingual (HKEX requirement),"PDF ('Annual Results Announcement' - condensed audited results with full financial statements + notes, not a separate glossy MD&A-rich annual report)",RMB (even in the HKEX filing),"IFRS - CONFIRMED explicitly in filing text ('applicable International Financial Reporting Standards'). This CONTRASTS with Zijin's H-share filing, which uses PRC CAS - the two companies use different standards on the same exchange.","trivially YES - company is essentially pure gold. Three segments: 'Gold Mining' (mine ore), 'Gold Refining' (refining/sale incl. purchased material), 'Investment Management' (trading/futures, non-operating). No copper/zinc/base-metal segment exists at all.","NOT FOUND in the FY2022 results announcement - no AISC, no unit-cost table; only group-level 'Cost of sales' in the income statement","Segment D&A and segment capex NOT disclosed in the segment note (only revenue, operating profit, finance income/cost, tax, assets, liabilities per segment); AISC/unit-cost entirely absent from the document checked",none,"Because the company is ~100% gold, group-level capex/D&A are a reasonable proxy for gold-segment capex/D&A even without a segment breakdown - a much smaller fidelity loss than for Zijin."
Shandong Gold Mining (山东黄金) - A-share,SSE 600547.SH,"https://static.cninfo.com.cn/finalpage/2023-06-17/1217086251.PDF (verified, 49pp)","yes, direct curl 200","2003 (SSE listing 28 Aug 2003) - estimated from listing date, not independently fetch-verified beyond the FY2022 file checked",abbreviated quarterly + half-year + annual (CSRC A-share standard),Chinese only,PDF,RMB,PRC CAS,"presumed yes (pure-gold company, same logic as H-share) - not independently checked in this specific document",not checked this session,not checked this session,none,"Lowest-depth entry for this company pair - only fetchability was confirmed, content was not read for the A-share filing."
Zhaojin Mining (招金矿业),HKEX 1818.HK (no A-share),"https://en.zhaojin.com.cn/investment/financeNotice.html (paginated listing, verified back to FY2007) e.g. https://en.zhaojin.com.cn/upload/2013-07-17/1623123684.pdf (FY2007)","yes, multiple direct fetches verified, no block, no jina needed",2007 verified by direct fetch (9pp financial-statement excerpt); H-share IPO was December 2006 so FY2006 may also exist but was not found/checked,"half-year + annual (HKEX only - Zhaojin has no A-share/CSRC listing, so no quarterly abbreviated filing requirement applies)",Bilingual (en.zhaojin.com.cn mirrors a Chinese site),"PDF; CAUTION - several 'FINANCIAL REPORT FOR [year]' links on the IR site returned only short 9-10 page excerpts (statements only, no notes) rather than complete annual reports in the files actually fetched this session",RMB,"Statement format (Consolidated Statement of Profit or Loss / Other Comprehensive Income) matches IFRS presentation, not CAS - inferred from structure, NOT independently confirmed by a text search for the words 'IFRS' or 'CAS' (medium confidence only)",not independently checked this session - Zhaojin is known to be primarily a pure-gold miner with some silver by-product but the segment note was not opened,not checked this session,not checked this session - insufficient time for a full-document pass,none apparent,"Shallowest-verified company in the whole set: only cover-page/statement-format level and fetchability were confirmed. A full-document pass (segment note, cost captions, cash-tax line) is needed before relying on this company for extraction."
China Gold International Resources,HKEX 2099.HK / TSX CGG,https://www.chinagoldintl.com/investors/financials/2023/ (listing) e.g. https://www.chinagoldintl.com/_resources/financials/2023/China-Gold-Annual-Report-2022-ENG.pdf,"yes, verified, no block, no jina needed","2009 verified (Q1-Q3 2009 filings present, incl. 'IFRS refiling' documents from the 2011 Canadian IFRS transition applied retroactively); CSH Mine commercial production began July 2008","TRUE quarterly financial statements (Canadian NI 51-102 requirement, full statements not just operational updates) + annual - better frequency than any of the HK/China-only names",English (Canadian primary filer; a Chinese version may exist for the HKEX secondary listing but was not checked),PDF,USD - confirmed,"IFRS - confirmed explicitly, audited by Deloitte Touche Tohmatsu","PARTIAL - two mines effectively two segments: CSH Mine (pure gold, cleanly separable) and Jiama Mine (copper-gold-polymetallic; gold at Jiama is a BY-PRODUCT credit bundled into copper revenue, not separately revenue-lined) - a genuine Tier-2 by-product problem, same structural issue as Barrick/Newmont",'Cash production cost per ounce' - a non-IFRS reconciliation of cost-of-sales adjusted for D&A only. NOT full AISC (no sustaining capex/royalty build-up shown in the reconciliation table found).,Full AISC not published (only a partial cash-cost bridge); sustaining vs growth capex split not evident in the sections checked; segment capex/royalty detail not checked further due to time,none,"Cleanest Western-style (IFRS + USD + Big-4-audited, true quarterly cadence) disclosure among the Chinese-linked names, but the Jiama by-product problem means it needs the same co-product restatement work as Newmont/Barrick per METHODOLOGY.md section 5."
Newcrest Mining,"ASX NCM (acquired by Newmont, delisted Nov 2023)","https://s24.q4cdn.com/382246808/files/doc_downloads/Newcrest/annual/230921_Annual-Report-2023_0.pdf (FY2023, final independent year, verified)",PARTIAL - newcrest.com now fully redirects into newmont.com content (confirmed via jina.ai: page title is 'Newmont Corporation - Home'); direct bare curl to www.newcrest.com returns HTTP 403; the FY2023 report PDF itself IS directly fetchable (200) because Newmont chose to keep it on its own IR CDN (s24.q4cdn.com/382246808/...),not independently verified this session beyond FY2023 (Newcrest as a company dates to the 1980s) - would need per-year search on the same Newmont CDN or a third-party mirror,"ASX standard: half-yearly audited financial statements + quarterly production/activities reports (operational only, no P&L)",English only,PDF,USD - confirmed (unusual for an ASX company; explicit 'US$' AISC figures throughout FY2023 report),"AASB (Australian Accounting Standards, IFRS-converged)","PARTIAL - gold-primary but significant copper by-product (Cadia, Telfer); publishes AISC and 'AISC margin' by mine with by-product credits netted, same Tier-2 co-product issue as Barrick/Newmont","full WGC AISC published, by mine, plus 'AISC margin' (realised gold price minus AISC) - confirmed via text search",not deeply checked beyond confirming AISC exists; standard Western Tier-1/2 disclosure expected to be largely complete,"FY2023 is the last full year as an independent company (Newmont acquisition completed 6 Nov 2023); from FY2024 onward Newcrest exists only inside Newmont's consolidated segment reporting, not standalone",The newcrest.com domain itself is functionally dead - it is a full redirect shell into Newmont's site. Historical Newcrest filings survive ONLY because Newmont chose to keep them on its own IR CDN; this is not guaranteed to persist and should be mirrored locally before it disappears. Needed jina.ai just to confirm what the live domain now shows; the actual PDF fetch did not need jina.
Northern Star Resources,ASX NST,https://www.nsrltd.com/investors/reports/ (JS-rendered listing); third-party mirror https://www.annualreports.com/Company/northern-star-resource lists PDFs back to 2013,"PARTIAL - root domain nsrltd.com IS directly fetchable (HTTP 200), but the specific reports-listing page is JS-rendered with no static PDF links in the raw HTML; jina.ai reader DOES load it and surfaces recent filing URLs (confirmed working). No annual-report PDF was actually opened and read this session - content NOT verified, only reachability.",2013 per third-party mirror listing (NOT fetched/opened this session),"ASX standard: half-yearly financials + quarterly activities reports (industry-standard assumption, not confirmed this session)",English (assumed),PDF (assumed),"AUD (standard assumption, NOT independently confirmed this session)","AASB/IFRS-converged (assumption, NOT confirmed this session)",presumed yes (near-pure gold company) - NOT confirmed,presumed AISC (ASX industry standard post-2013) - NOT confirmed,UNKNOWN - no document-level verification performed this session,none known,LOWEST document-level confidence entry in the whole set alongside Zhaojin. Only the domain and a third-party mirror listing were confirmed reachable; no primary-source PDF content was actually opened and read this session due to time constraints. A follow-up pass is needed before this company is relied on for extraction.
Evolution Mining,ASX EVN,"https://evolutionmining.com.au/reports/ (blocked direct); third-party mirror https://www.annualreports.com/HostedData/AnnualReportArchive/E/ASX_CAH_2012.pdf (verified, FY2012, 118pp)",PARTIAL - company's own site returns HTTP 403 direct (Cloudflare-style block); jina.ai reader DOES load the reports page but the actual report list sits behind a further third-party click-through disclaimer (Virtua Research vendor) that was not penetrated this session - no PDF links were extracted from the primary site. Third-party mirror (annualreports.com) works directly with no block and WAS opened and read.,"2012 verified via mirror (Evolution Mining formed 2011 via Catalpa/Conquest merger, so FY2012 is plausibly the first full annual report)","ASX standard: half-yearly + quarterly activities (assumed for later years, not independently checked beyond FY2012)",English,PDF,AUD - confirmed via FY2012 report ('A$' throughout),Referenced as 'IFRS' in EVN's own investor-page disclaimer text (found via jina.ai) - consistent with AASB/IFRS convergence,"mostly yes for FY2012 - primarily gold with silver by-product, no major base-metal segment at that time","FY2012 used 'cash operating cost' (A$/oz) - this PREDATES the WGC AISC standard (finalised June 2013), directly confirming METHODOLOGY.md section 8's pre-2013 backcast problem. Later years are known industry-wide to report AISC but this was NOT independently verified this session.",not checked beyond the FY2012 cash-cost figure,none known,"Primary IR site needs jina.ai just to load a disclaimer page, and the actual report PDFs sit behind a further third-party vendor click-through not penetrated this session. For bulk retrieval, the annualreports.com mirror is the more practical route despite being third-party, non-authoritative."
Polyus,MOEX PLZL (historically also LSE via GDR),"https://polyus.com/en/investors/results-and-reports/ - single page listing ALL filings back to FY2006, e.g. https://polyus.com/upload/iblock/b7f/pgil_annual_report_2006.pdf","yes - fully verified, no block, no jina needed, entire history on one unpaginated page (no pagination hassle) - the single best primary-source retrieval experience of the whole company set","2006 verified by direct fetch (pgil_annual_report_2006.pdf, 106pp, under the predecessor name 'Polyus Gold International Limited' / PGIL)","quarterly trading updates + half-year + annual IFRS financial statements, CONTINUOUSLY through FY2025 (most recent filing found: 12M2025 Published IFRS FS, dated ~March 2026)","English (a Russian version also exists, not checked)",PDF,USD - confirmed ('in millions of US Dollars'),Full IFRS through FY2022. From FY2023 onward: 'Published Consolidated Financial Statements' - a REDACTED IFRS-basis special-purpose report explicitly excluding information under Russian Government Decree No. 1102 (4 July 2023). Auditor issues an explicit 'Emphasis of Matter - Basis of Preparation and Restriction on Use' and states these do NOT comply with full IFRS and 'may not be suitable for any other purpose'.,"N/A - pure gold company, no by-product segment issue. VERY rich segment note by mine (Olimpiada, Blagodatnoye, Natalka, Irkutsk/Verninskoye+Sukhoi Log, Kuranakh) giving gold sales revenue, oz sold, Adjusted EBITDA, Total Cash Cost, TCC/oz, AND capex - all per mine.","Total Cash Cost (TCC) and TCC/oz by mine, published inside the audited FS segment note (though the segment table itself carries a footnote marking it 'Unaudited'). NO AISC found anywhere in the FY2025 financial-statement text searched - AISC historically appeared in separate quarterly 'Trading Update' press releases, not checked this session.","Since FY2023, segment ASSETS AND LIABILITIES are explicitly 'not disclosed' per the redaction decree (stated outright in the segment note); IAS 24 related-party disclosures also restricted per the auditor's report. Core P&L, cash flow, segment revenue/EBITDA/TCC/capex continue to be disclosed.","FY2023 onward = redacted/restricted-use 'Published' financial statements (auditor's own characterisation), not full-scope IFRS. This is a SOFT break - data keeps flowing but completeness and the audit opinion's scope are both reduced. No hard/complete blackout year was found.","MAJOR FINDING, CONTRADICTS UNIVERSE.md. Polyus did NOT go dark after the 2022 sanctions the way Nordgold and (for its Russian assets) Polymetal did. It continued full English-language quarterly/annual IFRS-basis disclosure straight through FY2025, the most recent filing found. The catch, confirmed by reading the actual auditor's report, is a documented, flagged redaction regime from FY2023 that strips segment balance-sheet detail and narrows related-party disclosure while downgrading the audit opinion's completeness claim - a real but PARTIAL fidelity loss, categorically different from 'no data'. This should materially change how the study treats Polyus."
